rowid,pl_name,pl_rade,pl_radeerr1,pl_radeerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,st_teff,st_tefferr1,st_tefferr2,st_rad,st_raderr1,st_raderr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_insol,pl_insolerr1,pl_insolerr2,pl_rade_error,pl_bmasse_error,st_rad_error,st_teff_error,pl_orbsmax_error,pl_insol_error,pl_flux,pl_flux_error
226,HAT-P-25 b,12.722,0.538,-0.538,180.84527,7.31009,-6.99226,0.955340142,0.013501818,-0.013155617,0.92,0.03,-0.03,0.0466,0.00081,-0.0008,325,29,-26,0.538,7.151175,0.03,0.013328717,0.000805,27.5,324.6653399,30.04059985
228,HAT-P-27 b,11.43,0.78,-0.67,197.05,9.53,-9.53,0.917431193,0.01557902,-0.01557902,0.9,0.05,-0.04,0.04,0.0008,-0.0008,,,,0.725,9.53,0.045,0.01557902,0.0008,,358.6402631,45.66680914
229,HAT-P-28 b,13.585,1.267,-0.919,198.953,11.759,-11.759,0.983209278,0.01557902,-0.01557902,1.1,0.09,-0.07,0.0434,0.0007,-0.0007,,,,1.093,11.759,0.08,0.01557902,0.0007,,600.3296368,97.19903692
234,HAT-P-32 b,22.194,0.504,-0.504,216.1244,34.9613,-31.783,1.03877445,0.01523282,-0.01523282,1.37,0.03,-0.03,0.03397,0.00051,-0.0005,1841,31,-38,0.504,33.37215,0.03,0.01523282,0.000505,34.5,1893.804209,149.6307389
238,HAT-P-36 b,14.314,0.224,-0.224,587.41341,27.65121,-27.65121,0.972823265,0.006924009,-0.006924009,1.04,0.01,-0.01,0.0241,0.00047,-0.00047,,,,0.224,27.65121,0.01,0.006924009,0.00047,,1667.893766,86.69314661
245,HAT-P-42 b,14.348,1.715,-1.715,331.801,26.379,-26.379,0.994114592,0.008655011,-0.008655011,1.53,0.14,-0.14,0.0575,0.0011,-0.0011,,,,1.715,26.379,0.14,0.008655011,0.0011,,691.5012464,131.5090432
246,HAT-P-43 b,14.359,0.695,-0.37,210.395,19.069,-19.069,0.97715077,0.012809417,-0.012809417,1.1,0.04,-0.02,0.0443,0.0004,-0.0006,,,,0.5325,19.069,0.03,0.012809417,0.0005,,562.113781,44.38305605
247,HAT-P-44 b,13.922,1.188,-0.572,111.871,9.217,-9.217,0.916565692,0.017310023,-0.017310023,0.95,0.08,-0.04,0.0507,0.0007,-0.0007,,,,0.88,9.217,0.06,0.017310023,0.0007,,247.7910863,37.10659626
249,HAT-P-45 b,15.984,1.962,-0.975,283.492,43.541,-31.464,1.095724424,0.017310023,-0.017310023,1.32,0.15,-0.07,0.0452,0.0007,-0.0007,,,,1.4685,37.5025,0.11,0.017310023,0.0007,,1229.352313,222.4083318
250,HAT-P-46 b,14.392,3.038,-1.491,156.684,26.061,-16.526,1.059373377,0.017310023,-0.017310023,1.4,0.29,-0.14,0.0577,0.0014,-0.0009,,,,2.2645,21.2935,0.215,0.017310023,0.00115,,741.4820867,234.7086832
253,HAT-P-50 b,14.437,0.717,-0.717,429.0705,23.20159,-23.20159,1.087069413,0.008481911,-0.008481911,1.7,0.07,-0.07,0.0453,0.00058,-0.0014,,,,0.717,23.20159,0.07,0.008481911,0.00099,,1966.6657,193.3596019
254,HAT-P-51 b,14.493,0.605,-0.605,98.20947,5.72094,-5.72094,0.943223126,0.008655011,-0.008655011,1.04,0.04,-0.03,0.05069,0.00049,-0.00049,,,,0.605,5.72094,0.035,0.008655011,0.00049,,333.1807163,26.34294647
255,HAT-P-52 b,11.31,0.807,-0.807,259.98494,9.21707,-9.21707,0.888177255,0.008655011,-0.008655011,0.89,0.05,-0.05,0.03694,0.00038,-0.00038,,,,0.807,9.21707,0.05,0.008655011,0.00038,,361.2308388,43.59877786
256,HAT-P-53 b,14.773,1.02,-1.02,471.65972,17.79848,-17.79848,1.03098494,0.008655011,-0.008655011,1.21,0.08,-0.06,0.03159,0.00042,-0.00042,,,,1.02,17.79848,0.07,0.008655011,0.00042,,1657.603958,204.5090816
